Time, Roll, Pitch, Yaw
0.005,-4.49e-05,-5.79e-05,7.15e-05
0.008,-3.99e-07,-7.33e-05,5.59e-05
0.011,2.52e-05,-7.65e-05,5.82e-05
0.014,1.87e-05,-6.21e-05,3.9e-05
0.017,3.66e-05,-9.69e-05,6.5e-05
0.02,2.02e-05,-9.88e-05,0.000178
0.023,2.34e-05,-7.95e-05,0.000146
0.026,-2.64e-05,-4.1e-05,0.000166
0.029,-7.17e-05,-7.55e-05,0.00018
0.032,-1.24e-05,-2.52e-06,0.000193
0.035,2.41e-05,3.53e-05,0.000157
0.038,5.72e-06,5.2e-05,0.000169
0.041,1.29e-05,4.39e-05,0.000154
0.044,2.09e-05,5.11e-05,0.000174
0.047,-2.32e-06,6.82e-05,0.000162
0.05,-9.72e-06,0.000106,0.000126
0.053,-5.74e-06,9.81e-05,0.000147
0.056,3.79e-06,0.000101,0.000111
0.059,3.82e-05,0.000112,0.000124
0.062,4.69e-05,0.00015,0.000142
0.065,3.56e-05,0.000131,0.000167
0.068,5.54e-05,0.000131,0.000153
0.071,6.58e-05,0.000165,0.000144
0.074,8.78e-05,0.000171,0.000179
0.077,0.00013,0.00014,0.000161
0.08,0.000113,0.000128,0.000168
0.083,0.000132,0.000105,0.000132
0.086,0.00014,0.000104,0.000131
0.089,0.000153,4.3e-05,0.000109
0.092,0.000122,3.14e-05,0.000134
0.095,0.000115,1.5e-06,0.000106
0.098,0.000162,-3.13e-05,0.000147
0.101,0.000164,1.88e-05,0.000105
0.104,0.000122,8.49e-05,0.000102
0.107,9.68e-05,7.25e-05,0.000143
0.11,0.00014,7.11e-05,0.000117
0.113,0.000172,2.14e-05,9.46e-05
0.116,0.00014,1.07e-05,8.43e-05
0.119,0.000101,-2.31e-06,8.39e-05
0.122,0.000167,-4.09e-05,0.000103
0.125,0.000188,-4.75e-05,0.000127
0.128,0.000157,-6.3e-05,7.33e-05
0.131,0.000126,-1.34e-05,6.42e-05
0.134,0.000128,-1.22e-05,2.24e-05
0.137,9.14e-05,-3.01e-05,2.19e-05
